Mouser 零件號,Mfr 部件編號,製造商,規格書,供貨情況,定價,RoHS,壽命週期,產品明細,系列,安裝風格,封裝/外殼,分辨率,通道數,接口類型,取樣率,輸入類型,建筑學,類比電源電壓,數位電源電壓,SNR - 訊雜比,最低工作溫度,最高工作溫度,封裝
595-ADS8317IDGKR,ADS8317IDGKR,Texas Instruments,https://www.ti.com/lit/gpn/ads8317,無庫存前置作業時間 6 週,"=""NT$232.20""",符合 RoHS,,https://www.mouser.tw/ProductDetail/Texas-Instruments/ADS8317IDGKR?qs=PYyXbQdAgMUX%252Bmb4CUIzzQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ADS8317IDGKR&utm_content=Texas-Instruments,ADS8317,SMD/SMT,VSSOP-8,16 bit,1 Channel,"3-Wire, SPI",250 kS/s,Differential/Single-Ended,SAR,2.7 V to 5.5 V,2.7 V to 5.5 V,91.5 dB,- 40 C,+ 85 C,Reel
595-ADS8317IDGKT,ADS8317IDGKT,Texas Instruments,https://www.ti.com/lit/gpn/ads8317,452  庫存量,"=""NT$462.24""",符合 RoHS,,https://www.mouser.tw/ProductDetail/Texas-Instruments/ADS8317IDGKT?qs=PYyXbQdAgMXvnB33QEm2%252BA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ADS8317IDGKT&utm_content=Texas-Instruments,ADS8317,SMD/SMT,VSSOP-8,16 bit,1 Channel,"3-Wire, SPI",250 kS/s,Differential/Single-Ended,SAR,2.7 V to 5.5 V,2.7 V to 5.5 V,84.8 dB,- 40 C,+ 85 C,"Reel, Cut Tape, MouseReel"
